epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
25,2020-06-20,29,MS,Nova Alvorada do Sul,5006002,city,6,27.4198,-1,0,0,0.0,21882,False,False
25,2020-06-20,82,MS,Nova Andradina,5006200,city,21,38.6214,1,0,0,0.0,54374,False,False
25,2020-06-20,10,MS,Novo Horizonte do Sul,5006259,city,8,209.75354,0,0,0,0.0,3814,False,False
25,2020-06-20,64,MS,Paraíso das Águas,5006275,city,6,108.0108,1,0,0,0.0,5555,False,False
25,2020-06-20,71,MS,Paranaíba,5006309,city,116,275.22065,2,2,0,0.0172,42148,False,False
25,2020-06-20,37,MS,Paranhos,5006358,city,1,7.02839,0,0,0,0.0,14228,False,False
25,2020-06-20,92,MS,Ponta Porã,5006606,city,77,83.21985,3,1,0,0.013,92526,False,False
25,2020-06-20,28,MS,Porto Murtinho,5006903,city,0,,0,0,0,0.0,17131,False,False
25,2020-06-20,44,MS,Ribas do Rio Pardo,5007109,city,11,44.6882,-1,0,0,0.0,24615,False,False
25,2020-06-20,30,MS,Rio Brilhante,5007208,city,195,519.80594,30,2,0,0.0103,37514,False,False
25,2020-06-20,1,MS,Rio Negro,5007307,city,1,20.69965,1,0,0,0.0,4831,False,False
25,2020-06-20,86,MS,Rio Verde de Mato Grosso,5007406,city,7,35.45022,0,0,0,0.0,19746,False,False
25,2020-06-20,3,MS,Rochedo,5007505,city,3,54.55537,0,0,0,0.0,5499,False,False
25,2020-06-20,43,MS,São Gabriel do Oeste,5007695,city,75,280.1539,8,0,0,0.0,26771,False,False
